i,X1,Y1,Z1,M1,X2,Y2,Z2,M2,XDIFF,YDIFF,ZDIFF,MDIFF,420,116,8
0,-1440,1187,-2741,3316.0,-951,1371,-2961,3398.8,489,184,-220,82.8,,,
1,-1422,1170,-2746,3306.3,-962,1376,-2956,3399.5,460,206,-210,93.2,,,
2,-1435,1190,-2741,3314.9,-965,1376,-2956,3400.4,470,186,-215,85.5,,,
3,-1435,1182,-2743,3313.7,-962,1376,-2958,3401.3,473,194,-215,87.6,,,
4,-1445,1180,-2751,3323.9,-967,1373,-2950,3394.5,478,193,-199,70.6,,,
5,-1430,1182,-2740,3309.0,-956,1373,-2958,3398.4,474,191,-218,89.3,,,
6,-1430,1195,-2737,3311.2,-943,1373,-2961,3397.3,487,178,-224,86.1,,,
7,-1435,1180,-2751,3319.6,-956,1368,-2956,3394.6,479,188,-205,75.0,,,
8,-1432,1192,-2732,3306.9,-965,1361,-2953,3391.7,467,169,-221,84.9,,,
9,-1430,1187,-2746,3315.8,-946,1376,-2963,3401.1,484,189,-217,85.3,,,
10,-1437,1187,-2730,3305.6,-956,1383,-2953,3398.1,481,196,-223,92.5,,,
11,-1425,1195,-2740,3311.5,-965,1376,-2956,3400.4,460,181,-216,88.8,,,
12,-1425,1197,-2732,3305.6,-953,1373,-2961,3400.1,472,176,-229,94.5,,,
13,-1427,1180,-2746,3312.0,-967,1363,-2958,3397.4,460,183,-212,85.5,,,
14,-1427,1185,-2737,3306.3,-965,1366,-2956,3396.3,462,181,-219,90.0,,,
15,-1427,1175,-2748,3311.9,-956,1368,-2947,3386.8,471,193,-199,74.9,,,
16,-1440,1197,-2737,3316.3,-951,1381,-2963,3404.5,489,184,-226,88.3,,,
17,-1425,1195,-2741,3312.4,-956,1366,-2953,3391.2,469,171,-212,78.8,,,
18,-1437,1187,-2746,3318.8,-956,1373,-2971,3409.7,481,186,-225,90.9,,,
19,-1427,1202,-2746,3319.9,-957,1371,-2958,3397.8,470,169,-212,77.9,,,
20,-1435,1187,-2741,3313.8,-965,1376,-2961,3404.7,470,189,-220,90.9,,,
21,-1437,1185,-2751,3322.2,-956,1356,-2976,3407.2,481,171,-225,85.0,,,
22,-1425,1187,-2890,3433.9,-903,1363,-3105,3509.2,522,176,-215,75.3,,,
23,-1407,1192,-3048,3562.4,-863,1333,-3263,3628.9,544,141,-215,66.5,,,
24,-1450,1172,-3097,3614.9,-888,1313,-3307,3667.3,562,141,-210,52.4,,,
25,-1475,1165,-3100,3625.3,-928,1296,-3302,3666.6,547,131,-202,41.3,,,
26,-1467,1157,-3105,3623.8,-911,1286,-3310,3666.0,556,129,-205,42.3,,,
